url,canonical_url,title,location,price_cop,bedrooms,bathrooms,area_m2,estrato,property_type,source_file,scraped_at
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-triangulo-3-habitaciones-2-banos/2377-M5962222?src_url=%2Finmuebles%2Farriendo%2Fbogota%2F%3Fsearch%3Dform,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-triangulo-3-habitaciones-2-banos/2377-M5962222,"Apartamento En Arriendo, CASTILLA PIO XII","CASTILLA PIO XII, Bogotá D.C.",1550000,3,2,58.0,3,apartamento,metrocuadrado-bogota-leasing_details_20251025_080830.csv,2025-10-25 08:19:09.678935+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-boyaca-3-habitaciones-2-banos/19703-M6066703?src_url=%2Finmuebles%2Farriendo%2Fbogota,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-boyaca-3-habitaciones-2-banos/19703-M6066703,"Apartamento En Arriendo, EL REAL","EL REAL, Bogotá D.C.",1650000,3,2,68.0,3,apartamento,metrocuadrado-bogota-leasing_details_20251024_160755.csv,2025-10-24 16:09:38.041206+00:00
https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-cr-quintas-del-redil-3-habitaciones-2-banos-1-garajes/20036-M6069737?src_url=%2Finmuebles%2Farriendo%2Fbogota%2F%3Fsearch%3Dform,https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-cr-quintas-del-redil-3-habitaciones-2-banos-1-garajes/20036-M6069737,"Casa En Arriendo, EL REDIL GALICIA","EL REDIL GALICIA, Bogotá D.C.",1900000,3,2,74.0,4,casa,metrocuadrado-bogota-leasing_details_20251027_003108.csv,2025-10-27 00:40:05.110571+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pradera-norte-3-habitaciones-2-banos-1-garajes/20942-M6115170?src_url=%2Finmuebles%2Farriendo%2Fbogota,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pradera-norte-3-habitaciones-2-banos-1-garajes/20942-M6115170,"Apartamento En Arriendo, LA PRADERA NORTE","LA PRADERA NORTE, Bogotá D.C.",2250000,3,2,90.0,4,apartamento,metrocuadrado-bogota-leasing_details_20251025_160630.csv,2025-10-25 16:10:01.648937+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-3-habitaciones-2-banos-1-garajes/13374-M6104059?src_url=%2Finmuebles%2Farriendo%2Fbogota,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-3-habitaciones-2-banos-1-garajes/13374-M6104059,Apartamento En Arriendo,Bogotá D.C.,2344000,3,2,80.0,4,apartamento,metrocuadrado-bogota-leasing_details_20251020_080922.csv,2025-10-20 08:14:40.225520+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-muequeta-3-habitaciones-2-banos-1-garajes/20825-M6111024?src_url=%2Finmuebles%2Farriendo%2Fbogota%2F%3Fsearch%3Dform,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-muequeta-3-habitaciones-2-banos-1-garajes/20825-M6111024,"Apartamento En Arriendo, CHAPIENRO BARRIOS UNIDOS","CHAPIENRO BARRIOS UNIDOS, Bogotá D.C.",2350000,3,2,70.0,3,apartamento,metrocuadrado-bogota-leasing_details_20251027_003108.csv,2025-10-27 00:37:38.247757+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-portales-del-norte-3-habitaciones-2-banos-1-garajes/MC5570806?src_url=%2Finmuebles%2Farriendo%2Fbogota%2F%3Fsearch%3Dform,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-portales-del-norte-3-habitaciones-2-banos-1-garajes/MC5570806,"Apartamento En Arriendo, COLINA CAMPESTRE Colina Y Alrededores","COLINA CAMPESTRE Colina Y Alrededores, Bogotá D.C.",2470000,3,2,72.0,4,apartamento,metrocuadrado-bogota-leasing_details_20251026_160739.csv,2025-10-26 16:14:34.824550+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-victorino-3-habitaciones-2-banos-1-garajes/MC5440684?src_url=%2Finmuebles%2Farriendo%2Fbogota,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-victorino-3-habitaciones-2-banos-1-garajes/MC5440684,"Apartamento En Arriendo, ESTACION DE LA SABANA Puente Aranda","ESTACION DE LA SABANA Puente Aranda, Bogotá D.C.",2500000,3,2,65.0,3,apartamento,metrocuadrado-bogota-leasing_details_20251026_160739.csv,2025-10-26 16:08:58.116492+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-millan-3-habitaciones-2-banos-1-garajes/20942-M6108566?src_url=%2Finmuebles%2Farriendo%2Fbogota,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-millan-3-habitaciones-2-banos-1-garajes/20942-M6108566,"Apartamento En Arriendo, BARRANCAS NORTE","BARRANCAS NORTE, Bogotá D.C.",2581000,3,2,79.0,4,apartamento,metrocuadrado-bogota-leasing_details_20251022_002544.csv,2025-10-22 00:28:34.382763+00:00
https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-los-andes-3-habitaciones-2-banos-2-garajes/19815-M6099572?src_url=%2Finmuebles%2Farriendo%2Fbogota,https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-los-andes-3-habitaciones-2-banos-2-garajes/19815-M6099572,"Casa En Arriendo, LOS ANDES","LOS ANDES, Bogotá D.C.",2850000,3,2,125.0,4,casa,metrocuadrado-bogota-leasing_details_20251016_222001.csv,2025-10-16 22:23:16.786659+00:00
