url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-las-ferias-bogota/193424704,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:44.501687+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-teusaquillo-bogota/193888475,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:44.540413+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:44.580318+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:44.711266+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-los-rosales-bogota/193857679,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:45.261353+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193755019,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:45.299678+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193873142,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:45.309983+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-castilla-bogota/193526525,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:45.349816+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-castilla-bogota/193526525,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:45.356847+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193834851,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:45.468180+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 5.700.000 | $ 5.800.000 | $ 260.000.000 | $ 610.000.000 | $ 6.700.000 | $ 6.500.000 | $ 800.000.000 | $ 37.000.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 12:39:45.526386+00:00
