url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-cedritos-bogota/193544349,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:07.998389+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-tintal-bogota/193830315,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:08.142594+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-belalcazar-bogota/5619173,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:08.253161+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-bogota/193660266,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:08.270427+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-bogota/193651919,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:08.667733+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193775987,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:08.953694+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193801384,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:09.000986+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tibana-bogota/193857209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:09.144010+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tibana-bogota/193857209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:09.154772+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-barrios-unidos-bogota/193756497,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 415.000.000 | $ 550.000.000 | $ 620.000.000 | $ 380.000.000 | $ 880.000.000 | $ 800.000 | $ 350.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-15 07:58:09.190936+00:00
