url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193656137,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:10.964440+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193736856,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:10.969848+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tibana-bogota/193857209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.234090+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193409625,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.366512+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193758796,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.394710+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193068433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.404612+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-barrancas-norte-bogota/192750250,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.462861+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/192927100,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.485446+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.532588+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-central-bogota/193825089,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.562954+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-ricaurte-bogota/193856224,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:11.571897+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-bogota/193778125,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:12.320074+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:12.353263+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-villa-alsacia-2-bogota/193364947,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:12.362674+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-hospital-san-carlos-bogota/193703847,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:12.369824+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-victoria-norte-bogota/193825520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:12.382001+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-los-rosales-bogota/193870786,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:12.634826+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-alto-bogota/193704568,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:12.756780+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-candelaria-bogota/192750094,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:12.800041+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-12-de-octubre-bogota/193826574,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:13.265185+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-recuerdo-bogota/193829820,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:13.288328+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:13.459151+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:13.467073+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:13.473064+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193566489,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 350.000.000 | $ 2.500.000 | $ 15.000.000 | $ 150.000.000 | $ 30.000.000 | $ 20.000.000 | $ 310.000.000 | $ 850.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-14 18:30:13.580236+00:00
