url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193509567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:42.797925+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-americas-central-bogota/193478079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:42.805037+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-cantalejo-bogota/193396471,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:42.835190+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bogota/193470251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:42.842883+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:43.017283+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:43.128725+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193468821,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:43.144255+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:43.179589+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193502647,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:43.694968+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:43.709434+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 970.000.000 | $ 350.000.000 | $ 700.000 | $ 2.500.000 | $ 1.500.000 | $ 750.000.000 | $ 3.000.000 | $ 1.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-27 18:18:43.748354+00:00
