url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:23.681850+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:23.689021+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:23.727640+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193606209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:23.915089+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193047687,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:23.992496+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/193686534,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:24.102773+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193712231,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:24.191457+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gratamira-bogota/193644771,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:24.322170+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193778077,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:24.626289+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193365302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:24.744842+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-barbara-bogota/193124921,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 1.000.000.000 | $ 300.000.000 | $ 280.000.000 | $ 943.400 | $ 6.330.000 | $ 850.000.000 | $ 3.450.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-03 13:36:24.869082+00:00
