url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:55.675892+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:55.725053+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193353074,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:55.905394+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-montevideo-bogota/193320151,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:55.962521+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:55.995413+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:56.330806+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:56.354818+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/193135632,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:56.568412+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192857773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:56.658408+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192594237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:56.682967+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-lourdes-bogota/192716061,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 300.000.000 | $ 2.000.000 | $ 300.000.000 | $ 3.500.000 | $ 1.337.781 | $ 2.500.000 | $ 3.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 18:18:56.689567+00:00
