url,information,date_time
https://www.fincaraiz.com.co//bodega-en-arriendo-en-bosa-bogota/193893446,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:45.916299+00:00
https://www.fincaraiz.com.co//habitacion-en-arriendo-en-villa-luz-bogota/193672295,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.074649+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-castilla-bogota/193526525,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.105263+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/193884921,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.135565+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-cedritos-bogota/193969103,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.167748+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-norte-bogota/193468904,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.727131+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-chico-norte-bogota/192980978,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.822393+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193638884,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.878112+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-mazuren-bogota/193976618,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.887218+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bosque-de-maria-bogota/193870890,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.000.000.000 | $ 720.000.000 | $ 440.000.000 | $ 730.000.000 | $ 1.990.000.000 | $ 2.950.000.000 | $ 3.500.000.000 | $ 1.875.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 12:18:46.901304+00:00
