url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:36.816183+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193691650,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.043189+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.064913+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-las-ferias-bogota/193424704,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.091331+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-quinta-paredes-bogota/193191106,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.338897+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/191269207,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.515059+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193743731,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.590800+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colon-bogota/193592800,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.625245+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193378595,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.866682+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-bogota/193446713,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.880677+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-verbenal-san-antonio-bogota/193042986,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 395.000.000 | $ 450.000.000 | $ 280.000.000 | $ 360.000.000 | $ 3.200.000 | $ 500.000 | $ 10.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-21 18:38:37.981256+00:00
