url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193414627,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.007100+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.062079+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-los-pantanos-bogota/193431777,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.075139+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/193336475,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.333515+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193388722,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.615627+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-boyaca-real-bogota/193459506,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.657270+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193066062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.675466+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-venecia-bogota/193449006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.707997+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.717664+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-verbenal-san-antonio-bogota/193042986,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 10.000.000 | $ 865.300 | $ 2.000.000 | $ 1.727.000 | $ 610.000.000 | $ 12.000.000 | $ 2.500.000.000 | $ 6.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 12:11:03.885487+00:00
