url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-candelaria-bogota/193793382,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:53.942978+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193647529,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:53.953806+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/192206859,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:54.157225+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10308129,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:54.218446+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/193682534,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:54.497384+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-batan-bogota/193481563,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:54.783894+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486658,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:54.791827+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:54.878151+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193690056,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:54.913464+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.800.000 | $ 20.185.000 | $ 1.400.000.000 | $ 270.000.000 | $ 550.000.000 | $ 498.500.000 | $ 1.180.000.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-06 00:40:54.960119+00:00
