url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:51.921593+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-alcazares-norte-bogota/191248514,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:51.929834+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193592330,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:51.936278+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-americas-central-bogota/193478079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:51.966309+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-morato-bogota/191732929,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:52.078163+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-zona-franca-bogota/193070184,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:52.176663+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/193612425,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:52.275306+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-virrey-bogota/193281300,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:52.785007+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-hayuelos-bogota/193572516,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:52.800637+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193336407,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:52.814048+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-jorge-central-bogota/193503649,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 890.000.000 | $ 1.380.000.000 | $ 1.850.000.000 | $ 747.500.000 | $ 3.200.000 | $ 2.600.000 | $ 480.000.000 | $ 1.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 00:29:52.871729+00:00
