url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193691650,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:02.255617+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-candelaria-bogota/193611282,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:02.618961+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/193384788,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:02.637513+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193762116,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:02.745243+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193468821,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:02.835165+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/193772840,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:03.013836+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-zona-centro-bogota/191054340,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:03.026577+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:03.076076+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193068433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:03.368244+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-paula-bogota/193282905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:04.026874+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gran-america-bogota/193579168,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.900.000.000 | $ 180.000.000 | $ 310.000.000 | $ 1.030.000.000 | $ 1.000.000 | $ 538.000.000 | $ 357.000.000 | $ 390.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-02 19:14:04.119911+00:00
