url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193427433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:29.962539+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193592330,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.000628+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-usatama-bogota/193380265,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.111881+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/7242367,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.150896+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/193670805,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.161281+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193184076,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.223009+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193685063,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.270195+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-roma-bogota/193667616,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.277574+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/193680055,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.918576+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193632433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:30.962108+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/7598980,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000 | $ 720.000.000 | $ 1.900.000.000 | $ 585.000.000 | $ 3.390.000 | $ 350.000.000 | $ 480.000.000 | $ 13.431.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-03 18:18:31.253149+00:00
