url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:38.731947+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:38.963081+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-popular-modelo-bogota/193644280,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:38.993186+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.017564+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.024358+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrios-unidos-bogota/193486843,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.031520+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193641181,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.088863+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193660825,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.103560+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-primavera-occidental-puente-aranda-bogota/193529170,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.648829+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-puente-largo-bogota/193592263,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.690698+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-tintala-bogota/193567163,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.697995+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.704105+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/7092019,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 398.000.000 | $ 1.614.400 | $ 250.000.000 | $ 800.000.000 | $ 250.000.000 | $ 520.000.000 | $ 18.000.000 | $ 975.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 06:38:39.710896+00:00
