url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:56.935411+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-uribe-bogota/193977277,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:56.942967+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193916308,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:56.989867+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191903128,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.073646+00:00
https://www.fincaraiz.com.co//consultorio-en-arriendo-en-san-patricio-bogota/192356341,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.396180+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193908777,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.431885+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-chico-bogota/193378438,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.456358+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-comercial-parque-la-colina-bogota/193942404,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.510937+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-cristobal-sur-bogota/193839850,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.699020+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193853096,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.710858+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-lago-bogota/194026212,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.729783+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193968703,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:57.774437+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/194012637,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:58.194226+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:58.225358+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/193807781,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:58.266297+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-reservado-bogota/193836567,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:58.273764+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-acevedo-tejada-bogota/193967793,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 295.000.000 | $ 300.000.000 | $ 630.000.000 | $ 489.999.999 | $ 209.000.000 | $ 860.000.000 | $ 920.850 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-30 08:14:58.478208+00:00
