url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193462834,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.186169+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-victoria-bogota/193297384,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.209309+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-calleja-bogota/193346705,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.239345+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.269707+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193200063,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.690014+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192857773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.709340+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-maranta-iii-sector-bogota/193373064,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.751419+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193427433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.777521+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-veracruz-bogota/192803397,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.799111+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/192785814,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 220.000.000 | $ 2.970.000 | $ 2.509.700 | $ 1.150.000.000 | $ 3.600.000 | $ 5.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 18:21:50.931285+00:00
