url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193765491,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:40.556765+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193690056,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:40.634327+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:40.845600+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-candelaria-bogota/193716943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:40.922405+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:41.018768+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193881948,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:41.190189+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-usaquen-bogota/193667012,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:41.410704+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193876400,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:41.445285+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-santa-ana-bogota/191808973,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:41.615088+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:41.726473+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193873142,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 320.000.000 | $ 250.000.000 | $ 6.500.000 | $ 3.000.000 | $ 1.732.311 | $ 12.500.000 | $ 150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 13:14:41.757060+00:00
