url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/7092019,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:20.472245+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-puente-largo-bogota/193592263,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:20.690870+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-primavera-occidental-puente-aranda-bogota/193529170,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:20.712924+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193657766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:20.869249+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193542241,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:21.280323+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:21.288820+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-quinta-camacho-bogota/192114307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:21.321119+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-alto-bogota/193658137,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:21.389727+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-candelaria-bogota/192750094,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:21.423165+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193502839,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 388.814.850 | $ 1.950.000 | $ 1.980.000.000 | $ 1.980.000.000 | $ 630.000.000 | $ 590.000.000 | $ 410.000.000 | $ 15.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-23 12:22:21.452133+00:00
