url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:56.330835+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-balcones-del-salitre-bogota/193444698,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:56.341436+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193397405,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:56.364446+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:56.415588+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:56.568451+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:56.591467+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-florida-blanca-bogota/193437464,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:56.613358+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193397320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:56.639281+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193410279,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:57.228451+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gustavo-restrepo-bogota/193321237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:57.245726+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-barbara-bogota/193401218,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 2.800.000.000 | $ 1.600.000 | $ 850.000 | $ 1.000.000 | $ 2.600.000 | $ 3.200.000.000 | $ 7.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-04 18:13:57.310395+00:00
