url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-las-brisas-bogota/193671720,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:43.657973+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-alcala-bogota/193426007,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:43.835841+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-castilla-bogota/193802297,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:43.982139+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-barrancas-norte-bogota/192750248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:44.234292+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:44.348343+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-alcala-bogota/193426007,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:44.378824+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-cedritos-bogota/193619138,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:44.492660+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-suba-bogota/193852991,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:44.541048+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-central-bogota/193825089,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:44.562108+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-batan-bogota/193481563,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000 | $ 450.000.000 | $ 670.000.000 | $ 1.850.000.000 | $ 1.293.000 | $ 1.400.000 | $ 1.450.000.000 | $ 2.050.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-11 00:44:44.742766+00:00
