url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/192750095,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:13.850464+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-polo-club-bogota/193587763,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:13.866980+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:13.873922+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:13.901492+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-las-orquideas-bogota/193454696,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:13.938285+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-paredes-bogota/193291243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:13.945586+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:13.960451+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-usaquen-bogota/193678399,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:13.984017+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-recodo-del-country-bogota/192058144,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:14.780490+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-prado-pinzon-bogota/193421262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:14.837733+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-alto-bogota/193353090,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:14.853737+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-tierra-buena-bogota/193593819,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 520.000.000 | $ 1.500.000 | $ 1.300.000.000 | $ 685.300.000 | $ 3.200.000 | $ 3.600.000 | $ 199.900.000 | $ 995.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 06:55:14.891931+00:00
