url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-acacias-bogota/193207802,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:15.278719+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-alhambra-bogota/192905447,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:15.355420+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/193345853,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:15.451389+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:15.460995+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192806419,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:15.878696+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:15.980026+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-retiro-bogota/193217404,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:15.989496+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/192904216,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:15.997763+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-garces-navas-bogota/193344708,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:16.090194+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193365716,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 495.000.000 | $ 390.000.000 | $ 1.600.000.000 | $ 8.000.000 | $ 720.000.000 | $ 720.000 | $ 650.000.000 | $ 20.023.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-17 06:21:16.167273+00:00
