url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/192512754,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:11.663978+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-alhambra-bogota/192905447,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:11.717530+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193017021,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:11.811822+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-madelena-bogota/193415634,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:11.825934+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192217506,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:11.865136+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/192750131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:11.871660+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:11.878254+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192939969,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:12.312891+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:12.354423+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193451004,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:12.464499+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-victoria-norte-bogota/193375951,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:12.900388+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193299473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 209.999.999 | $ 15.800.000 | $ 345.000.000 | $ 280.000.000 | $ 2.200.000 | $ 640.000.000 | $ 47.000.000 | $ 750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 18:06:13.016624+00:00
