url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:15.090669+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193606209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:15.262829+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-alcala-bogota/193426007,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:15.281483+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193442339,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:15.289772+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:15.311333+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-belalcazar-bogota/5619173,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:15.332717+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193622088,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:15.359504+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193691650,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:15.381374+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:16.291061+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-carolina-bogota/193770373,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:16.336223+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-las-brisas-bogota/193671720,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 950.000.000 | $ 240.000.000 | $ 5.300.000 | $ 830.000.000 | $ 4.750.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 13:09:16.371153+00:00
