url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:28.548912+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedro-golf-bogota/193372709,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:28.745667+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193638884,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:28.765355+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193463260,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:29.361020+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-batan-bogota/193481563,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:29.368941+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosques-del-marques-bogota/193796463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:29.426376+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-macarena-bogota/192657270,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:29.594090+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:29.654509+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193622041,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:29.689745+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-niza-bogota/193693715,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:29.751044+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-jose-de-bavaria-bogota/193794350,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:29.806060+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:30.344033+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-zona-franca-bogota/193726444,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:30.376488+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 580.000.000 | $ 895.000.000 | $ 15.900.000 | $ 3.970.000 | $ 5.180.000.000 | $ 340.000.000 | $ 2.950.000.000 | $ 2.141.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-29 13:04:30.489631+00:00
