url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:21.160917+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:21.223402+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:21.230160+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:21.236850+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:21.778802+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:21.786232+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193450343,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:21.838262+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:21.999405+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-perdomo-alto-bogota/193554353,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:22.007336+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 300.000.000 | $ 1.100.000.000 | $ 344.000.000 | $ 339.120.000 | $ 260.000.000 | $ 1.150.000 | $ 1.400.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-25 06:23:22.030591+00:00
