url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-cedritos-bogota/193544349,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:44.993707+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.018819+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-las-brisas-bogota/193671720,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.065803+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-santa-ana-bogota/193422774,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.150483+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193592654,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.531685+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/192750067,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.565510+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-villa-del-rio-bogota/192349121,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.606007+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193638884,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.621636+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193066062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.666217+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.741261+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-santa-fe-bogota/192750030,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.883890+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-niza-bogota/193490544,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:45.935689+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:46.520992+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-esmeralda-bogota/193468903,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:46.616750+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:46.626169+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-las-orquideas-bogota/193454696,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:46.633204+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193427433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:46.655288+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/191269207,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:46.770419+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:46.834438+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/192750243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:46.867207+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-retiro-bogota/193685296,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.800.000 | $ 8.200.000 | $ 2.600.000 | $ 2.500.000 | $ 1.600.000 | $ 5.200.000 | $ 2.650.000 | $ 1.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-15 00:35:47.366765+00:00
