url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193475320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:16.785753+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:16.800689+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.013608+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.098738+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.127793+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-prado-pinzon-bogota/193482008,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.152625+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193496789,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.187693+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.559426+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.809270+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-helenita-bogota/193455159,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.824449+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-los-pantanos-bogota/193431777,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.857329+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 680.000.000 | $ 27.000.000.000 | $ 2.258.530 | $ 4.500.000 | $ 580.000.000 | $ 1.200.000 | $ 680.000.000 | $ 1.930.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 06:17:17.990376+00:00
