url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/7092019,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:35.768336+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:35.878258+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:35.909989+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193385630,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.418096+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193580761,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.435440+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-rionegro/193464949,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.481161+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.490448+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.496790+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.508327+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrios-unidos-bogota/193486843,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.542755+00:00
