url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193873142,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:00.293796+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-cedritos-bogota/193969103,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:00.349265+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-bosa-bogota/193893446,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:00.405097+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-montevideo-bogota/193977958,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:00.446086+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bosque-de-maria-bogota/193870890,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:00.838990+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-simon-bogota/193442546,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:00.849453+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193981202,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:00.866849+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cataluna-bogota/193480645,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:00.899600+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193781457,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:01.024489+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193365302,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:01.089043+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193870884,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:01.265061+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193870884,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:01.276014+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-polo-club-bogota/193708046,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:01.825748+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:01.922220+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colon-bogota/193592800,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:02.059304+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193482149,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 2.400.000.000 | $ 635.000.000 | $ 213.900.000 | $ 655.000.000 | $ 1.700.000 | $ 250.000.000 | $ 15.000.000 | $ 640.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-13 08:58:02.129308+00:00
