url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:20.690364+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-calleja-bogota/193663566,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:20.697551+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/7242367,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:20.733422+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando-occidental-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:20.748796+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:20.787840+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-virrey-bogota/193575284,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:20.833984+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193615204,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:21.105228+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-las-orquideas-bogota/193454696,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:21.156632+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:21.719115+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-tierra-buena-bogota/193593819,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:22.007392+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-los-pantanos-bogota/193592439,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.000.000 | $ 8.000.000 | $ 1.400.000 | $ 350.000.000 | $ 316.000.000 | $ 1.850.000 | $ 1.450.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 18:34:22.013881+00:00
