url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193290107,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:46.739149+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193388722,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:46.820642+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-alto-bogota/193295823,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:46.832324+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:46.906832+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-iberia-bogota/192563302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:47.517187+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-helenita-bogota/193455159,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:47.523742+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-ciudad-quirigua-bogota/193438198,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:47.530453+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:47.550818+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-country-club-bogota/193398784,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:47.687180+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-quinta-paredes-bogota/193472326,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:47.771211+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-la-castellana-bogota/193098470,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:47.852378+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193385630,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 950.000 | $ 2.200.000 | $ 560.000.000 | $ 2.500.000 | $ 600.000.000 | $ 1.300.000 | $ 430.000.000 | $ 250.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 18:08:47.881701+00:00
