url,information,date_time
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando-occidental-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:40.565987+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193576476,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:40.766346+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-venecia-bogota/193449006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:40.773970+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193420807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:40.801942+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:40.812666+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193579083,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:41.149479+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:41.158852+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-chico-bogota/193378438,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:41.166388+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:41.381140+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193200063,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:41.455935+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193351990,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.600.000 | $ 1.200.000 | $ 175.000.000 | $ 37.000.000 | $ 290.000.000 | $ 21.194.200 | $ 1.300.000 | $ 7.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-21 06:38:41.670709+00:00
