url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:25.789727+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:25.809396+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193414627,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:25.860035+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:25.938249+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:26.018355+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:26.063621+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-balcones-del-salitre-bogota/193444698,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:26.469724+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193475320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:26.477143+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:26.651004+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-nueva-autopista-bogota/191610334,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:26.658747+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193451004,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.410.000 | $ 320.000.000 | $ 430.000.000 | $ 427.000.000 | $ 3.900.000 | $ 360.000.000 | $ 1.830.000 | $ 1.690.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 12:07:26.707390+00:00
