url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193355456,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:20:59.056450+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193358620,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:20:59.130882+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:20:59.172548+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192985986,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:20:59.723449+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:20:59.743126+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-plan-bogota/192959802,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:20:59.842956+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-belmira-bogota/193349527,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:20:59.973042+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-maranta-iii-sector-bogota/193373064,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:21:00.000870+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193342728,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:21:00.217269+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudadela-colsubsidio-bogota/192984181,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000.000 | $ 2.700.000 | $ 700.000 | $ 230.000.000 | $ 980.000.000 | $ 1.850.000.000 | $ 398.900.000 | $ 720.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-14 00:21:00.239388+00:00
