url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-carmelo-bogota/192749989,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:22.323216+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-spring-bogota/193238290,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:22.552846+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/192625708,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:22.565708+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:22.623568+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192857773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:23.136027+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-virrey-bogota/193299764,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:23.152855+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:23.163157+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/192901073,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:23.176057+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193066062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:23.186708+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 110.000.000 | $ 200.000.000 | $ 420.000.000 | $ 238.000.000 | $ 310.000.000 | $ 7.900.000 | $ 170.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 00:19:23.211125+00:00
