url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:05.205968+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193815880,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:05.247621+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-bellavista-occidental-bogota/193868668,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:05.293207+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193881519,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:05.343233+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193923335,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:05.404293+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/193148336,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:06.073880+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193876569,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:06.219658+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193336697,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:06.229984+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193336697,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:06.237053+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedro-golf-bogota/193812073,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.550.000 | $ 350.000.000 | $ 640.000.000 | $ 625.000.000 | $ 3.600.000.000 | $ 3.900.000.000 | $ 700.000.000 | $ 1.400.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 00:43:06.269354+00:00
