url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193397410,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.142742+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.150137+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/193397381,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.178653+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colinas-de-suba-bogota/193120422,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.394383+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-lindaraja-bogota/192142756,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.421795+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.456661+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193397320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.466500+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193358620,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.506694+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.974248+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-acacias-bogota/193207802,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:42.997058+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/192745092,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 180.000.000 | $ 1.180.000.000 | $ 2.700.000 | $ 3.725.400 | $ 1.200.000.000 | $ 5.000.000.000 | $ 21.500.000 | $ 18.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-15 12:07:43.114104+00:00
