url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-contador-bogota/193984432,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:39.786691+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/191269207,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:39.843473+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:39.975097+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193906816,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:40.069771+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/193384446,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:40.568460+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:40.584625+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando/193165852,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:40.594917+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:40.665153+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/194021845,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:40.789064+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/194021845,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 470.000.000 | $ 1.900.000 | $ 190.000.000 | $ 2.850.000 | $ 920.000 | $ 1.880.000 | $ 570.000.000 | $ 4.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-28 18:29:40.796036+00:00
