url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:25.074175+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193881948,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:25.124566+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-sagrado-corazon-bogota/193785437,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:25.188478+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193765491,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:25.753556+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-candelaria-bogota/193716943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:25.762980+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:25.945325+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193876400,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:25.954838+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-candelaria-bogota/192750094,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:25.961131+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193873142,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:26.123483+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-santa-ana-bogota/191808973,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:26.177619+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 320.000.000 | $ 275.000.000 | $ 395.000.000 | $ 220.000.000 | $ 271.000.000 | $ 7.900.000 | $ 2.800.000 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-18 00:48:26.185739+00:00
