url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-balcones-del-salitre-bogota/193444698,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:46.860897+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.124500+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.159265+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193397320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.187271+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.201459+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.218569+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193440186,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.279114+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.427254+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.721545+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193397405,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.731601+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.853826+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 168.000.000 | $ 1.100.000 | $ 9.700.000 | $ 300.000.000 | $ 580.000.000 | $ 4.870.000.000 | $ 1.650.000 | $ 699.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-06 12:09:47.915435+00:00
