url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-autopista-muzu-bogota/193476071,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:45.664807+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-candelaria-bogota/193716943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:45.674553+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colon-bogota/193592800,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:45.714091+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:45.958221+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/191955675,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:46.352751+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-zona-centro-bogota/191054340,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:46.379293+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-los-monjes-bogota/193452880,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:46.436935+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-villa-del-rio-bogota/192349121,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:46.463359+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-santa-isabel-bogota/193692182,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:46.510603+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-castellana-bogota/193659043,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:46.658484+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:46.720903+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:46.775625+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-veracruz-bogota/193729595,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:47.461614+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:47.472479+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/7242367,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:47.510331+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosques-del-marques-bogota/193617043,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:47.569664+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193491072,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:47.576821+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-victoria-bogota/193297384,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:47.631007+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:47.815786+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-reservado-bogota/193174528,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:47.864921+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193647529,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:48.511096+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-la-castellana-bogota/193098470,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:48.534836+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-bogota/193660266,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 333.000.000 | $ 780.000.000 | $ 1.900.000.000 | $ 238.000.000 | $ 2.300.000 | $ 2.300.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-12 00:33:48.653788+00:00
