url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:04.230790+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-reservado-bogota/193397415,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:04.312938+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:04.581514+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193523558,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:04.588814+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:04.606349+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193397410,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:04.770626+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193496789,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:04.783348+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193528252,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:04.856760+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/192785814,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:05.114653+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:05.163179+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ricaurte-bogota/193410094,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 599.000.000 | $ 445.000.000 | $ 6.700.000 | $ 330.000.000 | $ 6.300.000 | $ 2.950.000.000 | $ 4.914.000.000 | $ 324.999.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-20 06:19:05.226704+00:00
