url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193215920,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:47.711918+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193057392,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:47.724222+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-spring-bogota/193238290,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:47.745556+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-paloquemao-bogota/193088752,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:47.762630+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/193030542,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:48.550004+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-nogal-bogota/193282856,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:48.575137+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-castilla-bogota/193086938,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:48.583490+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/192567194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:48.590313+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193043646,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:48.601507+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-centro-internacional-bogota/193118723,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000.000 | $ 1.300.000 | $ 2.500.000.000 | $ 2.500.000 | $ 536.951 | $ 530.000.000 | $ 220.000.000 | $ 290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-30 06:15:48.622773+00:00
