url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-marsella-bogota/193549681,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:21.900909+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193299473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:21.953465+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-teusaquillo-bogota/193446372,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:21.960367+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-estanzuela-bogota/193455591,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:22.468987+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-occidental-bogota/192749462,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:22.515133+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/192750243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:22.529523+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193522990,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:22.564610+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/193485149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:22.645132+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-quinta-camacho-bogota/192114307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:22.657117+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 665.000.000 | $ 800.000 | $ 2.000.000 | $ 1.400.000 | $ 375.000.000 | $ 185.000.000 | $ 207.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 00:23:22.693259+00:00
