url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/193363100,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.169177+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.229912+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-cabrera-bogota/193607563,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.238442+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-fontibon-bogota/193577957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.267912+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193150679,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.889221+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/10769713,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.897215+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-las-ferias-bogota/193424704,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.920833+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193486847,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.927459+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/193299543,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.940548+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.400.000 | $ 1.600.000 | $ 1.200.000.000 | $ 1.200.000 | $ 158.000.000 | $ 224.000.000 | $ 1.980.000.000 | $ 4.092.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-11 00:22:54.972922+00:00
