url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-paula-bogota/193282905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:51.692471+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:51.699518+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193375519,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:52.031881+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193758821,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:52.107315+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-castilla-bogota/193526525,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:52.440970+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-esmeralda-bogota/193468903,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:52.505507+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosque-medina-bogota/193502386,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:52.693604+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-veracruz-bogota/193729595,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:52.708957+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193714553,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:52.717360+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-las-ferias-bogota/193544292,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 800.000.000 | $ 1.490.000.000 | $ 679.000.000 | $ 1.200.000.000 | $ 1.250.000.000 | $ 510.000.000 | $ 375.000.000 | $ 360.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-17 18:24:52.816256+00:00
