url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:06.495406+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-prado-pinzon-bogota/193482008,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:06.799768+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193475320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:06.806772+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:06.813275+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pasadena-bogota/193462333,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:06.821377+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-balcones-del-salitre-bogota/193444698,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:06.885575+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:07.230389+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:07.311345+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:07.366700+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-veramonte-macana-bogota/191663849,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:07.479393+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.500.000 | $ 41.884.372 | $ 12.000.000 | $ 3.000.000 | $ 56.782.000 | $ 800.000.000 | $ 240.000.000 | $ 1.050.800', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-10 12:11:07.570341+00:00
