url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:48.861991+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-paula-bogota/193282905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:48.896832+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-emaus-bogota/193507768,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:49.603919+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193690056,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:49.612539+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-galan-bogota/193664562,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:49.633510+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-alhambra-bogota/193754230,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:49.685337+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-sur-occidental-bogota/191995619,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:49.692253+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193299473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:49.701502+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193743731,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:49.809237+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:49.880507+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193655701,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.125.000.000 | $ 1.500.000 | $ 230.000.000 | $ 245.000.000 | $ 2.900.000 | $ 1.650.000 | $ 2.250.000 | $ 900.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 18:36:50.648769+00:00
