url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/192512754,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:19.860203+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:19.951761+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193451004,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:19.973772+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-santa-fe-bogota/192750030,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:20.430099+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193068433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:20.487757+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:20.557949+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192217506,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:20.630629+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193299473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:20.698349+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-chapinero-bogota/193158327,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:20.788959+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192939969,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 470.000.000 | $ 1.200.000 | $ 767.000.000 | $ 1.326.000 | $ 8.800.000 | $ 751.000.000 | $ 1.270.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-08 06:13:20.798545+00:00
