url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-calera/193990120,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:09.290537+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-granada-norte-bogota/193998323,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:09.408699+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/193729595,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:09.417926+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:09.525731+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-rafael-uribe-bogota/193858493,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:09.619739+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193986740,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:09.648450+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193899371,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:09.655450+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-bogota/193683957,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:09.672455+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-chico-reservado-bogota/191996023,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:10.277148+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/193384446,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:10.491266+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/193991082,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 1.300.000 | $ 750.000 | $ 6.600.000 | $ 250.000.000 | $ 470.000.000 | $ 1.350.000.000 | $ 265.000.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 18:55:10.643509+00:00
