url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-olaya-bogota/193317390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:57.843413+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193394000,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:57.955486+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193409625,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:58.028230+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-alto-bogota/193241881,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:58.066418+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-modelia-bogota/193428194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:58.530922+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-teusaquillo-bogota/192385712,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:58.550016+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-victoria-norte-bogota/193375951,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:58.575792+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-marly-bogota/191919864,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:58.585435+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-granada-bogota/193407588,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:58.604590+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-belalcazar-bogota/10276235,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 7.000.000 | $ 2.800.000 | $ 450.000.000 | $ 890.000.000 | $ 517.420.000 | $ 950.000 | $ 4.600.000 | $ 2.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-02 12:10:58.612471+00:00
