url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-unicentro-bogota-bogota/192716572,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:17.866968+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193244127,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:17.913985+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/192989807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.052424+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-felicidad-bogota/192983335,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.117605+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tierra-buena-bogota/193230441,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.581107+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-multicentro-bogota/192995644,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.658480+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-carmelo-bogota/192749989,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.694659+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-san-luis-bogota/193277986,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.707633+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.739671+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-sotileza-bogota/193259760,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.900651+00:00
