url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:12.502017+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193336407,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:12.532193+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-recuerdo-bogota/193702178,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:12.570640+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-virrey-bogota/193575284,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.109666+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colon-bogota/193592800,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.180401+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-cantalejo-bogota/193700185,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.188420+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosque-de-pinos-bogota/192750149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.201781+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando-occidental-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.272419+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193066062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.280965+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193576476,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.444409+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-viviana-bogota/193505524,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.451789+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193442339,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:13.578218+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193427433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:14.006899+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:14.015933+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-soledad-norte-bogota/193662943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:14.033365+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:14.040719+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000.000 | $ 1.950.000 | $ 245.000.000 | $ 8.300.000 | $ 2.400.000.000 | $ 206.000.000 | $ 240.000.000 | $ 254.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 18:34:14.155778+00:00
