url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193406127,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:07.230450+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193406306,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:07.288107+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-reservado-bogota/192291972,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:07.371170+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-usaquen-bogota/193398760,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:07.381995+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-acacias-bogota/193207802,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:07.943858+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193409316,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:07.950855+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193394000,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:07.967980+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193363257,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:08.002052+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193389048,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:08.017427+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193388722,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 287.000.000 | $ 345.000.000 | $ 1.350.000 | $ 3.100.000.000 | $ 221.000.000 | $ 1.200.000.000 | $ 250.000.000 | $ 2.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-20 00:19:08.228391+00:00
