url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/192206859,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.044931+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-reservado-bogota/192291972,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.052291+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-bosque-calderon-bogota/193099538,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.313649+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.665343+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193394000,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.731502+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.741043+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-zona-centro-bogota/193362627,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.819455+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193401750,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.916820+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193390418,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:53.929780+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193363257,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:54.471049+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193388722,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 8.500.000 | $ 1.650.000.000 | $ 990.000.000 | $ 2.500.000 | $ 195.000.000 | $ 4.238.000 | $ 13.036.000 | $ 979.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 12:13:54.484974+00:00
