url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-chico-bogota/193378438,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:26.273271+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-calleja-bogota/193663566,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:26.472423+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193657766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:26.552921+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193655560,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:26.605645+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193371665,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.031752+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.041629+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-paredes-bogota/193291243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.059794+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193290107,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.086475+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.105101+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.115529+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193506520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.239477+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-santa-barbara-alta-bogota/192726048,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.284958+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gran-america-bogota/193579168,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:27.965263+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-usatama-bogota/193380265,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.800.000 | $ 1.100.000 | $ 3.950.000 | $ 170.000.000 | $ 550.000.000 | $ 2.200.000 | $ 2.500.000 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-24 18:15:28.158255+00:00
