url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-oriental-bogota/192994767,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:44.051001+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/193345861,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:44.062069+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pasadena-bogota/193074288,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:44.096857+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-spring-bogota/193238290,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:44.131457+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:44.746788+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/191272525,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:44.785623+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193324607,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:44.802974+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-multicentro-bogota/192995644,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:44.976266+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/192955369,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:45.013938+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/192567194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 192.500.000 | $ 1.400.000 | $ 550.000.000 | $ 700.000.000 | $ 195.000.000 | $ 1.360.000.000 | $ 460.000.000 | $ 1.670.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 06:23:45.020602+00:00
