url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-alto-bogota/193295823,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:16:59.529310+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:16:59.559739+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:16:59.608187+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:16:59.870736+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bogota/193470251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:16:59.879099+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193414627,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:16:59.886036+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-quinta-camacho-bogota/192114307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:16:59.909657+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/192750243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:17:00.423235+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193506520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:17:00.552348+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193473808,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:17:00.607116+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-usatama-bogota/193380265,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 259.000.000 | $ 355.000.000 | $ 290.000.000 | $ 21.000.000 | $ 1.400.000 | $ 18.000 | $ 10.000.000 | $ 110.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-23 18:17:00.668865+00:00
