url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-candelaria-bogota/192671815,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:12.032462+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:12.083658+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-la-castellana-bogota/193098470,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:12.090666+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-engativa-bogota/193003258,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:12.143314+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/192750243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:12.707823+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:12.717832+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193270766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:12.730131+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:12.902914+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:13.003512+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/192949168,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 670.000.000 | $ 1.700.000.000 | $ 2.411.531 | $ 800.000 | $ 2.500.000 | $ 2.000.000 | $ 650.000.000 | $ 6.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-11 06:25:13.010616+00:00
