url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-autopista-muzu-bogota/193250798,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:03.691552+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193254684,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:03.804010+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193270727,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:03.816694+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193108875,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:03.865385+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193336475,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:03.943429+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-montevideo-bogota/193320151,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:03.952334+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:04.072333+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:04.144995+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-bonanza-bogota/193099915,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:04.631991+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-unicentro-bogota-bogota/193282469,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:04.656864+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-compartir-bogota/193281943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 19.000.000 | $ 535.000.000 | $ 860.000.000 | $ 2.650.000.000 | $ 750.000.000 | $ 2.000.000.000 | $ 1.100.000.000 | $ 1.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-29 18:12:04.743269+00:00
