url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-refugio-bogota/193916657,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:11.088930+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-rafael-uribe-bogota/193858493,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:11.317102+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:11.323417+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193862404,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:11.465438+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-las-americas-bogota/193917705,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:11.956198+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:11.994479+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-lagos-de-torca-bogota/193857440,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:12.002894+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bosque-de-maria-bogota/193870890,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:12.080501+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193979140,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:12.146754+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193632538,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:12.155483+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-martin-bogota/193911605,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 287.000.000 | $ 265.000.000 | $ 275.000.000 | $ 280.000.000 | $ 265.000.000 | $ 9.000.000 | $ 229.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-12 00:30:12.179873+00:00
