url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/193771328,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:31.783764+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-barbara-bogota/193124921,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:31.939569+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:32.033897+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/193384788,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:32.157044+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193365302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:32.282294+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193606209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:32.300720+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/193771328,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:32.307698+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193378595,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:32.597864+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-el-cortijo-bogota/193691287,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:32.660137+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-macarena-bogota/192657270,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 4.200.000 | $ 533.000.000 | $ 1.690.000.000 | $ 2.070.000 | $ 330.000.000 | $ 2.900.000 | $ 285.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 00:50:32.666654+00:00
